courseID,teacherID,teacherName,commentsURL
92141,2072,Xavier-Costa,https://www.applyweb.com/eval/new/showreport?c=92141&i=2072&t=181&r=9&d=true
92504,6565,Peter-Minosh,https://www.applyweb.com/eval/new/showreport?c=92504&i=6565&t=181&r=9&d=true
93890,2322,Nicholas-Brown,https://www.applyweb.com/eval/new/showreport?c=93890&i=2322&t=181&r=9&d=true
90508,1345,Kristian-Kloeckl,https://www.applyweb.com/eval/new/showreport?c=90508&i=1345&t=181&r=9&d=true
90744,6072,Judith-Rodriguez,https://www.applyweb.com/eval/new/showreport?c=90744&i=6072&t=181&r=9&d=true
91104,3699,Ang-Li,https://www.applyweb.com/eval/new/showreport?c=91104&i=3699&t=181&r=9&d=true
90786,148,David-Fannon,https://www.applyweb.com/eval/new/showreport?c=90786&i=148&t=181&r=9&d=true
92508,691,Timothy-Love,https://www.applyweb.com/eval/new/showreport?c=92508&i=691&t=181&r=9&d=true
91530,5856,Lori-Ferriss,https://www.applyweb.com/eval/new/showreport?c=91530&i=5856&t=181&r=9&d=true
91531,5856,Lori-Ferriss,https://www.applyweb.com/eval/new/showreport?c=91531&i=5856&t=181&r=9&d=true
91532,1483,Paxton-Sheldahl,https://www.applyweb.com/eval/new/showreport?c=91532&i=1483&t=181&r=9&d=true
91533,1483,Paxton-Sheldahl,https://www.applyweb.com/eval/new/showreport?c=91533&i=1483&t=181&r=9&d=true
91534,4439,Abigail-Ransmeier,https://www.applyweb.com/eval/new/showreport?c=91534&i=4439&t=181&r=9&d=true
91535,4439,Abigail-Ransmeier,https://www.applyweb.com/eval/new/showreport?c=91535&i=4439&t=181&r=9&d=true
91662,7443,Amanda-Sanders,https://www.applyweb.com/eval/new/showreport?c=91662&i=7443&t=181&r=9&d=true
91663,7443,Amanda-Sanders,https://www.applyweb.com/eval/new/showreport?c=91663&i=7443&t=181&r=9&d=true
92509,7425,Jonathan-Levine,https://www.applyweb.com/eval/new/showreport?c=92509&i=7425&t=181&r=9&d=true
92510,7425,Jonathan-Levine,https://www.applyweb.com/eval/new/showreport?c=92510&i=7425&t=181&r=9&d=true
91360,6730,Kiel-Moe,https://www.applyweb.com/eval/new/showreport?c=91360&i=6730&t=181&r=9&d=true
90065,5856,Lori-Ferriss,https://www.applyweb.com/eval/new/showreport?c=90065&i=5856&t=181&r=9&d=true
90299,6532,Humbi-Song,https://www.applyweb.com/eval/new/showreport?c=90299&i=6532&t=181&r=9&d=true
92153,4737,Jose-Menendez,https://www.applyweb.com/eval/new/showreport?c=92153&i=4737&t=181&r=9&d=true
90850,2636,Mark-Baranski,https://www.applyweb.com/eval/new/showreport?c=90850&i=2636&t=181&r=9&d=true
90851,1272,Silvia-Illia-Sheldahl,https://www.applyweb.com/eval/new/showreport?c=90851&i=1272&t=181&r=9&d=true
93840,2072,Xavier-Costa,https://www.applyweb.com/eval/new/showreport?c=93840&i=2072&t=181&r=9&d=true
90060,6730,Kiel-Moe,https://www.applyweb.com/eval/new/showreport?c=90060&i=6730&t=181&r=9&d=true
90718,159,Gavin-Shatkin,https://www.applyweb.com/eval/new/showreport?c=90718&i=159&t=181&r=9&d=true
90119,2636,Mark-Baranski,https://www.applyweb.com/eval/new/showreport?c=90119&i=2636&t=181&r=9&d=true
91985,5752,Cara-Michell,https://www.applyweb.com/eval/new/showreport?c=91985&i=5752&t=181&r=9&d=true
